CMDLINE /usr/local/opt/python@3.9/bin/python3.9 guardianbot.py -e
MEM 0.140625 1612191160.7403
MEM 16.277344 1612191160.8438
MEM 20.996094 1612191160.9461
MEM 27.363281 1612191161.0490
MEM 30.855469 1612191161.1492
MEM 37.566406 1612191161.2500
MEM 39.882812 1612191161.3513
MEM 40.417969 1612191161.4529
MEM 45.414062 1612191161.5541
MEM 48.679688 1612191161.6562
MEM 53.863281 1612191161.7581
MEM 62.890625 1612191161.8615
MEM 69.183594 1612191161.9647
MEM 78.128906 1612191162.0692
MEM 81.570312 1612191162.1736
MEM 87.457031 1612191162.2742
MEM 90.777344 1612191162.3791
MEM 94.250000 1612191162.4794
MEM 96.015625 1612191162.5800
MEM 99.562500 1612191162.6805
MEM 104.328125 1612191162.7810
MEM 112.734375 1612191162.8851
MEM 120.429688 1612191162.9891
MEM 125.328125 1612191163.0936
MEM 131.148438 1612191163.1982
MEM 136.078125 1612191163.3001
MEM 141.265625 1612191163.4007
MEM 145.894531 1612191163.5042
MEM 147.109375 1612191163.6070
MEM 154.941406 1612191163.7073
MEM 158.949219 1612191163.8092
MEM 183.296875 1612191163.9114
MEM 297.171875 1612191164.0166
MEM 400.535156 1612191164.1174
MEM 500.828125 1612191164.2207
MEM 597.320312 1612191164.3248
MEM 688.898438 1612191164.4279
MEM 784.683594 1612191164.5315
MEM 861.574219 1612191164.6332
MEM 861.574219 1612191164.7378
MEM 930.148438 1612191164.8391
MEM 1026.195312 1612191164.9439
MEM 1131.519531 1612191165.0491
MEM 1243.128906 1612191165.1543
MEM 1346.105469 1612191165.2581
MEM 1453.859375 1612191165.3621
MEM 1553.042969 1612191165.4648
MEM 1655.460938 1612191165.5651
MEM 1659.980469 1612191165.6690
MEM 1659.980469 1612191165.7728
MEM 1659.980469 1612191165.8741
MEM 1659.980469 1612191165.9791
MEM 1659.980469 1612191166.0843
MEM 1659.980469 1612191166.1894
MEM 1659.980469 1612191166.2898
MEM 1671.113281 1612191166.3910
MEM 1713.738281 1612191166.4943
MEM 1759.453125 1612191166.5993
MEM 1804.136719 1612191166.7020
MEM 1848.332031 1612191166.8060
MEM 1892.207031 1612191166.9064
MEM 1931.570312 1612191167.0115
MEM 1983.601562 1612191167.1117
MEM 2172.253906 1612191167.2128
MEM 2250.554688 1612191167.3140
MEM 2426.925781 1612191167.4186
